accession_id,accession_name,accession_cs_number,accession_longitude,accession_latitude,accession_country,AT2G16280,AT1G20330,AT3G05630,AT3G11170,AT3G11210,AT3G19260,AT3G56040,AT3G56080,AT4G11830,AT4G17600,AT4G23700,AT4G23710,AT5G16230,AT5G16240,AT5G22500,AT5G59590,acMGDG(18:3-2O/36:8-2O),acMGDG(18:3-3O/36:8-2O),Campesterol-Glc(16:0),Campesterol-Glc(18:3),Campesterol-Glc(18:2),GlcCer(34:1)-2,GlcCer(34:1)-3,GlcCer(40:1)-3,GlcCer(42:2)-3,Campesterol-Glc,DGDG(18:3/7:1-2O),DGDG(18:3/16:2),DGDG(18:3/16:1),DGDG(18:2/18:3),DGDG(18:1/18:3),MGDG(18:3/16:2),PC(16:0/16:1),PC(16:0/16:0),PE(20:1/18:3),PG(18:2/16:0),SQDG(32:0),SQDG(34:3),SQDG(36:6)
6923,HR-10,CS76940,-0.6383,51.4083,UK,3858,4656,306,14262,182,434,1628,514,786,2870,78,1352,31,270,765,16,0.000517054,0.000253861,0.006658458,0.005458214,0.004152708,0.314414726,0.408477261,0.22227837,0.466698235,0.074162432,0.00747621,0.177711531,0.707107056,0.369492819,0.308869004,0.408572244,0.111114748,0.096876341,0.009822457,0.670318455,0.007370423,0.42994836,0.150897437
6933,LL-0,CS77047,2.49,41.59,Spain,2572,3001,879,5363,173,866,2515,752,659,1780,381,1165,5,349,582,36,0.001629832,0.000520069,0.006232438,0.004919041,0.004726384,0.347565715,0.452261963,0.241023943,0.686430635,0.072700372,0.010232539,0.18516086,0.576033345,0.313524303,0.280890931,0.394108261,0.083156411,0.089185549,0.011768456,0.679165347,0.014506472,0.442866125,0.121683918
6943,NFA-10,CS77126,-0.6383,51.4083,UK,3397,4789,131,10636,329,499,2032,1059,297,3220,30,1430,29,401,889,32,0.000418725,0.000232161,0.008221175,0.007813721,0.005028375,0.29392018,0.347733543,0.213884918,0.580516462,0.081677398,0.007586758,0.183876243,0.71947862,0.347991459,0.345898313,0.398930629,0.125402972,0.10064034,0.009508077,0.589564558,0.011345143,0.46666894,0.137702087
6944,NFA-8,CS78913,-0.6383,51.4083,UK,3620,3724,404,6836,1334,544,2088,776,812,3132,580,1305,37,394,13494,186,0.000424405,0.000196702,0.006867072,0.006971587,0.005698691,0.380287676,0.400599972,0.222161029,0.563856608,0.089127627,0.008795446,0.183999524,0.807808978,0.353734723,0.324239751,0.439341752,0.135309679,0.113661373,0.009322629,0.643112877,0.012824437,0.420547041,0.138515287
6957,Pu2-8,CS77192,16.36,49.42,Czech Republic,4084,4191,213,11214,261,399,3185,959,2025,3493,232,1018,25,383,747,13,0.000804474,0.000221786,0.009416465,0.0100348,0.006904548,0.310787663,0.374439481,0.216202767,0.569026407,0.098388461,0.011193391,0.226408224,0.798654226,0.337982624,0.330387242,0.351294592,0.114668304,0.106690756,0.011066294,0.633430125,0.017005512,0.450519471,0.116869398
6960,Rennes-11,CS77211,-1.41,48.5,France,2236,4237,159,10009,291,516,2713,1006,348,3738,85,1185,14,394,944,27,0.003299045,0.000626544,0.010273696,0.008463188,0.007632511,0.207096246,0.2771189,0.174975346,0.55392401,0.08385357,0.00901336,0.15538847,0.863640335,0.322628289,0.28823054,0.395748687,0.137423769,0.124312381,0.010016849,0.585691722,0.014024097,0.449754212,0.142076976
6966,Sq-1,CS77266,-0.6383,51.4083,UK,4199,4532,124,10060,162,456,1794,627,807,2490,107,1474,31,290,1170,9,0.000413184,0.000221074,0.008019286,0.007073359,0.005399395,0.334167179,0.441023331,0.254038703,0.533036321,0.098081409,0.011821571,0.179249489,0.4842563,0.374442171,0.341187866,0.410572369,0.08791715,0.068292787,0.00988937,0.611847346,0.007379731,0.357936749,0.110690388
6970,Ts-1,CS76615,2.93056,41.7194,Spain,3936,5323,91,17752,410,187,5554,1018,2013,3956,25,1081,13,261,264,2,0.000644901,0.000288074,0.005649283,0.00598871,0.004870462,0.328040036,0.476025146,0.269612879,0.61742883,0.089394679,0.013573299,0.202859545,0.423147653,0.271341438,0.321520216,0.43261961,0.081493552,0.066457072,0.01152603,0.591383311,0.012196433,0.449183589,0.100498692
6971,Ts-5,CS77388,2.93056,41.7194,Spain,4083,5073,89,11127,274,425,2719,880,490,3051,104,1270,22,356,621,13,0.000672015,0.000282763,0.00536271,0.007025576,0.004981361,0.313126104,0.422025264,0.183374027,0.676552714,0.099268524,0.013399367,0.227367968,0.454842203,0.399370986,0.323877968,0.464071501,0.076234293,0.069299251,0.01122047,0.668725622,0.008146819,0.444762891,0.11762424
6973,Ull2-3,CS78817,13.9707,56.0648,Sweden,3302,5043,212,9720,293,448,3037,631,944,3270,129,1218,12,453,1296,28,0.000589644,0.000250807,0.005025772,0.004285198,0.003949498,0.336366406,0.371636691,0.196268392,0.657205179,0.060395238,0.009232224,0.188967842,0.601495886,0.2657388,0.316896991,0.396840008,0.098551887,0.115133508,0.010333021,0.650907521,0.008854941,0.448369562,0.115530717
